id,language,name,description,origin,temperament,wikipedia_url
1,"en","Siamese","The Siamese is a breed of domestic cat that originated in Thailand. They are known for their distinctive blue almond-shaped eyes, short coat, and striking color points on their ears, face, paws, and tail. Siamese cats are highly social, intelligent, and vocal.","Thailand","Active, Intelligent, Vocal","https://en.wikipedia.org/wiki/Siamese_cat"
1,"nl","Siamees","De Siamees is een kattenras dat oorspronkelijk afkomstig is uit Thailand. Ze staan bekend om hun kenmerkende blauwe amandelvormige ogen, korte vacht en opvallende kleurpunten op hun oren, gezicht, poten en staart. Siamese katten zijn zeer sociaal, intelligent en vocaal.","Thailand","Actief, Intelligent, Vocaal","https://nl.wikipedia.org/wiki/Siamees"
2,"en","Persian","The Persian cat is one of the oldest and most recognized cat breeds. They have a distinct round face, long luxurious coat, and a calm and gentle temperament. Persians require regular grooming due to their long fur.","Persia (Iran)","Calm, Gentle, Elegant","https://en.wikipedia.org/wiki/Persian_cat"
2,"nl","Perzisch","De Perzische kat is een van de oudste en meest erkende kattenrassen. Ze hebben een kenmerkend rond gezicht, lang luxueus haar en een rustig en zachtaardig temperament. Perzen hebben regelmatige verzorging nodig vanwege hun lange vacht.","Perzië (Iran)","Kalm, Zachtaardig, Elegant","https://nl.wikipedia.org/wiki/Perzische_kat"
3,"en","Maine Coon","The Maine Coon is a large domestic cat breed known for its tufted ears, bushy tail, and muscular build. They are friendly, sociable, and often referred to as the ""gentle giants"" of the cat world. Maine Coons are native to the United States.","United States","Friendly, Sociable, Playful","https://en.wikipedia.org/wiki/Maine_Coon"
3,"nl","Maine Coon","De Maine Coon is een groot kattenras dat bekend staat om zijn pluizige oren, volle staart en gespierde lichaamsbouw. Ze zijn vriendelijk, sociaal en worden vaak de ""gentle giants"" van de kattenwereld genoemd. Maine Coons zijn oorspronkelijk afkomstig uit de Verenigde Staten.","Verenigde Staten","Vriendelijk, Sociaal, Speels","https://nl.wikipedia.org/wiki/Maine_Coon"
4,"en","Bengal","The Bengal cat is a domestic breed known for its distinctive leopard-like spots and energetic nature. Bengals are highly active, playful, and require plenty of mental and physical stimulation. They were developed by crossing domestic cats with the Asian leopard cat.","United States","Active, Playful, Energetic","https://en.wikipedia.org/wiki/Bengal_cat"
4,"nl","Bengaals","De Bengaalse kat is een huiskattenras dat bekend staat om zijn kenmerkende luipaardachtige vlekken en energieke karakter. Bengalen zijn zeer actief, speels en hebben veel mentale en fysieke stimulatie nodig. Ze zijn ontwikkeld door huiskatten te kruisen met de Aziatische luipaardkat.","Verenigde Staten","Actief, Speels, Energiek","https://nl.wikipedia.org/wiki/Bengaalse_kat"
5,"en","Ragdoll","The Ragdoll is a large, semi-longhaired cat breed known for its striking blue eyes, docile temperament, and tendency to go limp when picked up. They are affectionate, gentle, and make great companions. Ragdolls were developed in the United States.","United States","Affectionate, Gentle, Laid-back","https://en.wikipedia.org/wiki/Ragdoll"
5,"nl","Ragdoll","De Ragdoll is een groot, half langharig kattenras dat bekend staat om zijn opvallende blauwe ogen, rustige temperament en neiging om slap te worden wanneer ze worden opgepakt. Ze zijn aanhankelijk, zachtaardig en maken geweldige metgezellen. Ragdolls zijn ontwikkeld in de Verenigde Staten.","Verenigde Staten","Aanhankelijk, Zachtaardig, Rustig","https://nl.wikipedia.org/wiki/Ragdoll"
6,"en","Sphynx","The Sphynx is a breed of cat known for its lack of fur and wrinkled skin. Despite their lack of fur, Sphynx cats are friendly, affectionate, and highly social. They require regular bathing to maintain their skin's health.","Canada","Friendly, Affectionate, Social","https://en.wikipedia.org/wiki/Sphynx_cat"
6,"nl","Sphynx","De Sphynx is een kattenras dat bekendstaat om zijn gebrek aan vacht en gerimpelde huid. Ondanks hun gebrek aan vacht zijn Sphynx-katten vriendelijk, aanhankelijk en zeer sociaal. Ze hebben regelmatig baden nodig om de gezondheid van hun huid te behouden.","Canada","Vriendelijk, Aanhankelijk, Sociaal","https://nl.wikipedia.org/wiki/Sphynx"
7,"en","Abyssinian","The Abyssinian is a breed of cat with a short, ticked coat and a playful and active personality. They are known for their curiosity and intelligence. Abyssinians are generally considered one of the oldest known cat breeds.","Egypt","Playful, Active, Curious","https://en.wikipedia.org/wiki/Abyssinian_cat"
7,"nl","Abyssinier","De Abyssinier is een kattenras met een korte, getikte vacht en een speels en actief karakter. Ze staan bekend om hun nieuwsgierigheid en intelligentie. Abyssiniers worden over het algemeen beschouwd als een van de oudst bekende kattenrassen.","Egypte","Speels, Actief, Nieuwsgierig","https://nl.wikipedia.org/wiki/Abyssinier"
8,"en","British Shorthair","The British Shorthair is a large and sturdy cat breed with a dense coat and round face. They have a calm and easygoing temperament and are known for their loyalty and affection towards their owners.","United Kingdom","Calm, Easygoing, Loyal","https://en.wikipedia.org/wiki/British_Shorthair"
8,"nl","Britse Korthaar","De Britse Korthaar is een groot en stevig kattenras met een dichte vacht en een rond gezicht. Ze hebben een rustig en gemakkelijk karakter en staan bekend om hun loyaliteit en genegenheid jegens hun eigenaren.","Verenigd Koninkrijk","Rustig, Gemakkelijk, Loyaal","https://nl.wikipedia.org/wiki/Britse_Korthaar"
9,"en","Scottish Fold","The Scottish Fold is a breed of cat characterized by its unique folded ears. They have a sweet and gentle temperament and are known for their curiosity and playful nature. Scottish Folds make great companions.","Scotland","Sweet, Gentle, Curious","https://en.wikipedia.org/wiki/Scottish_Fold"
9,"nl","Schotse Vouwoor","De Schotse Vouwoor is een kattenras dat wordt gekenmerkt door zijn unieke gevouwen oren. Ze hebben een lief en zacht karakter en staan bekend om hun nieuwsgierigheid en speelse aard. Schotse Vouwoors zijn geweldige metgezellen.","Schotland","Lief, Zacht, Nieuwsgierig","https://nl.wikipedia.org/wiki/Schotse_Vouwoor"
10,"en","Russian Blue","The Russian Blue is a cat breed with a short, dense coat of bluish-gray fur. They are known for their intelligence, gentle nature, and striking green eyes. Russian Blues are often reserved and loyal to their families.","Russia","Intelligent, Gentle, Reserved","https://en.wikipedia.org/wiki/Russian_Blue"
